key,english,it,status
"users_timeline_info","Info","Info","untranslated"
"users_timeline_load_error","Unable to load the user timeline.","Impossibile caricare la cronologia dell'utente.","ok"
"users_timeline_subtitle","{username} ({email})","{username} ({email})","untranslated"
"users_timeline_title","User timeline","Cronologia utente","ok"
"users_timeline_trace","Trace","Traccia","ok"
"users_title","Users","Utenti","ok"
"users_toggle_error","Unable to update the account status.","Impossibile aggiornare lo stato dell'account.","ok"
"users_toggle_updated","Account status updated","Stato account aggiornato","ok"
"users_toolbar_desc","Start with a filter, then use the bulk assistant or one-click actions on the right accounts.","Parti da un filtro e poi usa l'assistente massivo o le azioni dirette sugli account corretti.","ok"
"users_toolbar_title","User operations","Operazioni utenti","ok"
"users_update_error","Unable to save account changes.","Impossibile salvare le modifiche dell'account.","ok"
"users_updated","Account updated","Account aggiornato","ok"
"users_yes","Yes","SÃ¬","ok"
"verify_email_invite_expired_heading","Verification link expired","Link di verifica scaduto","ok"
"verify_email_invite_expired_message","This signup confirmation link has expired. Submit the invitation form again to receive a new email.","Questo link di conferma della registrazione e scaduto. Invia di nuovo il modulo di invito per ricevere una nuova email.","ok"
"verify_email_invite_failed_heading","Account creation failed","Impossibile creare l account","ok"
"verify_email_invite_failed_message","We could not finish creating your account from this invitation. Submit the invitation form again or ask for a new invitation.","Non siamo riusciti a completare la creazione del tuo account da questo invito. Invia di nuovo il modulo o chiedi un nuovo invito.","ok"
"verify_email_invite_success_heading","Email verified, account created","Email verificata, account creato","ok"
"verify_email_invite_success_message","Your email address has been confirmed and your account is now ready. You can sign in to Jellyfin.","Il tuo indirizzo email e stato confermato e il tuo account e pronto. Ora puoi accedere a Jellyfin.","ok"
"view_all","View all","Vedi tutto","ok"
