key,english,pt-br,status
"users_sync_network_error","Network error during Jellyfin synchronization","Erro de rede durante a sincronizacao com o Jellyfin","ok"
"users_table_desc","Inspect each local account, then edit, reset, trace, enable, or delete in one click.","Inspecione cada conta local e depois edite, redefina, acompanhe, ative ou exclua com um clique.","ok"
"users_table_title","Accounts list","Lista de contas","ok"
"users_timeline_critical","Critical","Critico","ok"
"users_timeline_empty","No timeline events found for this user.","Nenhum evento encontrado na linha do tempo deste usuario.","ok"
"users_timeline_important","Important","Importante","ok"
"users_timeline_info","Info","Informacao","ok"
"users_timeline_load_error","Unable to load the user timeline.","Nao foi possivel carregar a linha do tempo do usuario.","ok"
"users_timeline_subtitle","{username} ({email})","{username} ({email})","untranslated"
"users_timeline_title","User timeline","Linha do tempo do usuario","ok"
"users_timeline_trace","Trace","Rastro","ok"
"users_title","Users","Usuarios","ok"
"users_toggle_error","Unable to update the account status.","Nao foi possivel atualizar o status da conta.","ok"
"users_toggle_updated","Account status updated","Status da conta atualizado","ok"
"users_toolbar_desc","Start with a filter, then use the bulk assistant or one-click actions on the right accounts.","Comece com um filtro e depois use o assistente em lote ou aÃ§Ãµes diretas nas contas certas.","ok"
"users_toolbar_title","User operations","OperaÃ§Ãµes de usuÃ¡rios","ok"
"users_update_error","Unable to save account changes.","Nao foi possivel salvar as alteracoes da conta.","ok"
"users_updated","Account updated","Conta atualizada","ok"
"users_yes","Yes","Sim","ok"
"verify_email_invite_expired_heading","Verification link expired","Link de verificacao expirado","ok"
"verify_email_invite_expired_message","This signup confirmation link has expired. Submit the invitation form again to receive a new email.","Este link de confirmacao de cadastro expirou. Envie novamente o formulario de convite para receber um novo e-mail.","ok"
"verify_email_invite_failed_heading","Account creation failed","Nao foi possivel criar a conta","ok"
"verify_email_invite_failed_message","We could not finish creating your account from this invitation. Submit the invitation form again or ask for a new invitation.","Nao foi possivel concluir a criacao da sua conta a partir deste convite. Envie o formulario novamente ou solicite um novo convite.","ok"
"verify_email_invite_success_heading","Email verified, account created","E-mail verificado, conta criada","ok"
"verify_email_invite_success_message","Your email address has been confirmed and your account is now ready. You can sign in to Jellyfin.","Seu endereco de e-mail foi confirmado e sua conta esta pronta. Agora voce pode entrar no Jellyfin.","ok"
"view_all","View all","Ver tudo","ok"
