key,english,es,status
"users_selection_title","Selection snapshot","Resumen de selecciÃ³n","ok"
"users_subheading","Manage accounts, enable or delete users","Administra cuentas, activa o elimina usuarios","ok"
"users_subheading_extended","Manage local accounts, Jellyfin sync state, invitation rights, and expiry rules from one control room.","Gestiona cuentas locales, estado de sincronizaciÃ³n con Jellyfin, permisos de invitaciÃ³n y reglas de caducidad desde un Ãºnico panel.","ok"
"users_sync_confirm","Launch a synchronization against Jellyfin now?","Â¿Lanzar ahora una sincronizaciÃ³n con Jellyfin?","ok"
"users_sync_done","Jellyfin sync completed","SincronizaciÃ³n con Jellyfin completada","ok"
"users_sync_error","Jellyfin sync failed","La sincronizaciÃ³n con Jellyfin ha fallado","ok"
"users_sync_jellyfin","Sync Jellyfin","Sincronizar Jellyfin","ok"
"users_sync_jellyfin_title","Refresh local data from Jellyfin","Actualizar los datos locales desde Jellyfin","ok"
"users_sync_network_error","Network error during Jellyfin synchronization","Error de red durante la sincronizaciÃ³n con Jellyfin","ok"
"users_table_desc","Inspect each local account, then edit, reset, trace, enable, or delete in one click.","Revisa cada cuenta local y despuÃ©s edita, reinicia, consulta la cronologÃ­a, activa o elimina con un clic.","ok"
"users_table_title","Accounts list","Lista de cuentas","ok"
"users_timeline_critical","Critical","CrÃ­tico","ok"
"users_timeline_empty","No timeline events found for this user.","No se encontraron eventos en la cronologÃ­a de este usuario.","ok"
"users_timeline_important","Important","Importante","ok"
"users_timeline_info","Info","InformaciÃ³n","ok"
"users_timeline_load_error","Unable to load the user timeline.","No se pudo cargar la cronologÃ­a del usuario.","ok"
"users_timeline_subtitle","{username} ({email})","{username} ({email})","untranslated"
"users_timeline_title","User timeline","CronologÃ­a del usuario","ok"
"users_timeline_trace","Trace","Trazado","ok"
"users_title","Users","Usuarios","ok"
"users_toggle_error","Unable to update the account status.","No se pudo actualizar el estado de la cuenta.","ok"
"users_toggle_updated","Account status updated","Estado de la cuenta actualizado","ok"
"users_toolbar_desc","Start with a filter, then use the bulk assistant or one-click actions on the right accounts.","Empieza con un filtro y luego usa el asistente en lote o las acciones directas sobre las cuentas correctas.","ok"
"users_toolbar_title","User operations","Operaciones de usuario","ok"
"users_update_error","Unable to save account changes.","No se pudieron guardar los cambios de la cuenta.","ok"
"users_updated","Account updated","Cuenta actualizada","ok"
"users_yes","Yes","SÃ­","ok"
"verify_email_invite_expired_heading","Verification link expired","Enlace de verificacion caducado","ok"
"verify_email_invite_expired_message","This signup confirmation link has expired. Submit the invitation form again to receive a new email.","Este enlace de confirmacion de registro ha caducado. Envia de nuevo el formulario de invitacion para recibir un nuevo correo.","ok"
"verify_email_invite_failed_heading","Account creation failed","No se pudo crear la cuenta","ok"
"verify_email_invite_failed_message","We could not finish creating your account from this invitation. Submit the invitation form again or ask for a new invitation.","No pudimos terminar de crear tu cuenta a partir de esta invitacion. Envia de nuevo el formulario o pide una nueva invitacion.","ok"
"verify_email_invite_success_heading","Email verified, account created","Correo verificado, cuenta creada","ok"
"verify_email_invite_success_message","Your email address has been confirmed and your account is now ready. You can sign in to Jellyfin.","Tu direccion de correo ha sido confirmada y tu cuenta ya esta lista. Ahora puedes iniciar sesion en Jellyfin.","ok"
"view_all","View all","Ver todo","ok"
