key,english,fr,status
"users_segment_delivery","Communication","Communication","untranslated"
"users_select_filtered","Select filtered","Select filtered","untranslated"
"users_selection_clear","Clear selection","Vider la selection","ok"
"users_selection_desc","Review the exact accounts that will be affected next.","Verifiez exactement quels comptes seront touches ensuite.","ok"
"users_selection_empty","No users selected yet.","Aucun utilisateur selectionne.","ok"
"users_selection_more","+{count} more","+{count} autres","ok"
"users_selection_title","Selection snapshot","Resume de la selection","ok"
"users_subheading","Manage accounts, enable or delete users","Gerez les comptes, activez ou supprimez les utilisateurs","ok"
"users_subheading_extended","Manage local accounts, Jellyfin sync state, invitation rights, and expiry rules from one control room.","Gere les comptes locaux, l'etat de synchronisation Jellyfin, les droits d'invitation et les regles d'expiration depuis un seul ecran.","ok"
"users_sync_confirm","Launch a synchronization against Jellyfin now?","Lancer la synchronisation avec Jellyfin maintenant ?","ok"
"users_sync_done","Jellyfin sync completed","Synchronisation Jellyfin terminee","ok"
"users_sync_error","Jellyfin sync failed","Echec de la synchronisation Jellyfin","ok"
"users_sync_jellyfin","Sync Jellyfin","Synchroniser Jellyfin","ok"
"users_sync_jellyfin_title","Refresh local data from Jellyfin","Rafraichir les donnees locales depuis Jellyfin","ok"
"users_sync_network_error","Network error during Jellyfin synchronization","Erreur reseau pendant la synchronisation Jellyfin","ok"
"users_table_desc","Inspect each local account, then edit, reset, trace, enable, or delete in one click.","Inspectez chaque compte local puis modifiez, reinitialisez, tracez, activez ou supprimez en un clic.","ok"
"users_table_title","Accounts list","Liste des comptes","ok"
"users_timeline_critical","Critical","Critique","ok"
"users_timeline_empty","No timeline events found for this user.","Aucun evenement de timeline pour cet utilisateur.","ok"
"users_timeline_important","Important","Important","untranslated"
"users_timeline_info","Info","Information","ok"
"users_timeline_load_error","Unable to load the user timeline.","Impossible de charger la timeline utilisateur.","ok"
"users_timeline_subtitle","{username} ({email})","{username} ({email})","untranslated"
"users_timeline_title","User timeline","Timeline utilisateur","ok"
"users_timeline_trace","Trace","Trace","untranslated"
"users_title","Users","Utilisateurs","ok"
"users_toggle_error","Unable to update the account status.","Impossible de mettre a jour le statut du compte.","ok"
"users_toggle_updated","Account status updated","Statut du compte mis a jour","ok"
"users_toolbar_desc","Start with a filter, then use the bulk assistant or one-click actions on the right accounts.","Commencez par un filtre, puis utilisez l assistant en lot ou les actions rapides sur les bons comptes.","ok"
"users_toolbar_title","User operations","Operations utilisateurs","ok"
"users_update_error","Unable to save account changes.","Impossible d'enregistrer les modifications du compte.","ok"
"users_updated","Account updated","Compte mis a jour","ok"
"users_yes","Yes","Oui","ok"
"verify_email_invite_expired_heading","Verification link expired","Lien de verification expire","ok"
"verify_email_invite_expired_message","This signup confirmation link has expired. Submit the invitation form again to receive a new email.","Ce lien de confirmation d'inscription a expire. Soumettez a nouveau le formulaire d'invitation pour recevoir un nouvel email.","ok"
"verify_email_invite_failed_heading","Account creation failed","Creation du compte impossible","ok"
"verify_email_invite_failed_message","We could not finish creating your account from this invitation. Submit the invitation form again or ask for a new invitation.","Nous n'avons pas pu terminer la creation de votre compte a partir de cette invitation. Soumettez a nouveau le formulaire ou demandez une nouvelle invitation.","ok"
"verify_email_invite_success_heading","Email verified, account created","Email verifie, compte cree","ok"
"verify_email_invite_success_message","Your email address has been confirmed and your account is now ready. You can sign in to Jellyfin.","Votre adresse email a ete confirmee et votre compte est maintenant pret. Vous pouvez vous connecter a Jellyfin.","ok"
"view_all","View all","Voir tout","ok"
